Strategy ID,Strategy Name,Strategy Source,Template Type,Pair,Timeframe,SL %,TP %,ROI %,Profit Factor,Raw Profit Factor,Total PnL %,Win Rate %,Max Drawdown %,Trades,Expectancy,Raw Expectancy %,Simulated Exit Mode,ATR Period,ATR Stop Multiplier,ATR Target Multiplier,Min Stop %,Max Stop %,Position Sizing Mode,Risk Per Trade Fraction,Maximum Capital Allocation Fraction,Average Capital Deployed,Average Capital Deployed %,Runtime Seconds,PF Score,PnL Score,Win Score,DD Score,Trade Score,Overall Score
MATCHED_AI_AIPROP_EMA_MACD_VOLUME_001_NO_VOLUME,EMA MACD trend with volume selectivity without volume confirmation,MATCHED_BASELINE,fixed,SOLUSDT,15m,2.0,3,15.42,1.14,1.16,15.0,43.53,-7.62,340,4.54,0.1765,fixed_percent_full_position,,,,,,risk_normalized,0.01,0.25,2803.71,25.0,0.79,14.249999999999998,7.5,14.510000000000002,16.19,10.0,62.45
AI_AIPROP_EMA_MACD_VOLUME_001,EMA MACD trend with volume selectivity,AI_REVIEWED,ai_reviewed,ETHUSDT,15m,1.0,2,8.59,1.13,1.13,8.5,36.2,-3.45,395,2.18,0.0861,fixed_percent_full_position,,,,,,risk_normalized,0.01,0.25,2657.41,25.0,0.74,14.124999999999998,4.25,12.066666666666668,18.275,10.0,58.71666666666667
MATCHED_AI_AIPROP_EMA_MACD_VOLUME_001_NO_VOLUME,EMA MACD trend with volume selectivity without volume confirmation,MATCHED_BASELINE,fixed,ETHUSDT,15m,1.0,3,9.21,1.11,1.11,9.25,27.09,-7.56,443,2.08,0.0835,fixed_percent_full_position,,,,,,risk_normalized,0.01,0.25,2705.75,25.0,0.79,13.875000000000002,4.625,9.030000000000001,16.22,10.0,53.75
AI_AIPROP_EMA_MACD_VOLUME_001,EMA MACD trend with volume selectivity,AI_REVIEWED,ai_reviewed,XRPUSDT,15m,1.0,4,9.25,1.15,1.16,9.25,22.48,-6.11,298,3.1,0.1242,fixed_percent_full_position,,,,,,risk_normalized,0.01,0.25,2664.34,25.0,0.68,14.374999999999998,4.625,7.493333333333333,16.945,10.0,53.43833333333333
AI_AIPROP_EMA_MACD_VOLUME_001,EMA MACD trend with volume selectivity,AI_REVIEWED,ai_reviewed,SOLUSDT,15m,2.0,5,7.39,1.1,1.12,7.75,30.89,-10.5,191,3.87,0.1623,fixed_percent_full_position,,,,,,risk_normalized,0.01,0.25,2677.5,25.0,0.67,13.750000000000002,3.875,10.296666666666667,14.75,9.549999999999999,52.221666666666664
MATCHED_AI_AIPROP_EMA_MACD_VOLUME_001_NO_VOLUME,EMA MACD trend with volume selectivity without volume confirmation,MATCHED_BASELINE,fixed,BNBUSDT,15m,1.0,5,8.39,1.15,1.16,8.5,18.85,-9.61,260,3.23,0.1308,fixed_percent_full_position,,,,,,risk_normalized,0.01,0.25,2711.31,25.0,0.79,14.374999999999998,4.25,6.283333333333334,15.195,10.0,50.10333333333334
AI_AIPROP_EMA_MACD_VOLUME_001,EMA MACD trend with volume selectivity,AI_REVIEWED,ai_reviewed,BTCUSDT,15m,1.0,2,-1.9,0.96,0.96,-1.75,32.48,-6.85,274,-0.69,-0.0255,fixed_percent_full_position,,,,,,risk_normalized,0.01,0.25,2450.35,25.0,0.73,12.0,0.0,10.826666666666666,16.575,10.0,49.40166666666667
AI_AIPROP_EMA_MACD_VOLUME_001,EMA MACD trend with volume selectivity,AI_REVIEWED,ai_reviewed,BNBUSDT,15m,1.0,5,5.53,1.12,1.13,5.75,18.43,-8.93,217,2.55,0.106,fixed_percent_full_position,,,,,,risk_normalized,0.01,0.25,2624.27,25.0,0.71,14.000000000000002,2.875,6.143333333333333,15.535,10.0,48.55333333333333
MATCHED_AI_AIPROP_EMA_MACD_VOLUME_001_NO_VOLUME,EMA MACD trend with volume selectivity without volume confirmation,MATCHED_BASELINE,fixed,XRPUSDT,15m,1.0,4,3.82,1.05,1.05,4.25,20.87,-8.35,393,0.97,0.0433,fixed_percent_full_position,,,,,,risk_normalized,0.01,0.25,2680.39,25.0,0.73,13.125,2.125,6.956666666666667,15.825,10.0,48.031666666666666
MATCHED_AI_AIPROP_EMA_MACD_VOLUME_001_NO_VOLUME,EMA MACD trend with volume selectivity without volume confirmation,MATCHED_BASELINE,fixed,BTCUSDT,15m,1.5,4,0.2,1.0,1.01,0.5,27.5,-4.79,160,0.12,0.0125,fixed_percent_full_position,,,,,,risk_normalized,0.01,0.25,2535.43,25.0,0.72,12.5,0.25,9.166666666666666,17.605,8.0,47.52166666666666
