Framework,Causal,Non-Mutating,Deterministic,Result
adx_trend_following,True,True,True,Pass
aroon_trend,True,True,True,Pass
atr_volatility_breakout,True,True,True,Pass
bollinger_mean_reversion,True,True,True,Pass
bollinger_squeeze_breakout,True,True,True,Pass
cci_trend_pullback,True,True,True,Pass
chandelier_exit_trend,True,True,True,Pass
connors_rsi_mean_reversion,True,True,True,Pass
donchian_breakout,True,True,True,Pass
dual_moving_average_crossover,True,True,True,Pass
elder_impulse_system,True,True,True,Pass
ema_ribbon_trend,True,True,True,Pass
engulfing_confirmation_trend,True,True,True,Pass
heikin_ashi_trend,True,True,True,Pass
ichimoku_cloud_trading,True,True,True,Pass
inside_bar_breakout,True,True,True,Pass
keltner_channel_breakout,True,True,True,Pass
macd_momentum,True,True,True,Pass
momentum_acceleration_breakout,True,True,True,Pass
nr4_nr7_volatility_breakout,True,True,True,Pass
opening_range_breakout,True,True,True,Pass
parabolic_sar_trend,True,True,True,Pass
pin_bar_rejection,True,True,True,Pass
pivot_range_breakout,True,True,True,Pass
price_channel_trend,True,True,True,Pass
rsi_pullback_trend,True,True,True,Pass
stochastic_pullback_trend,True,True,True,Pass
supertrend_trend_following,True,True,True,Pass
support_resistance_bounce,True,True,True,Pass
triple_screen_trading,True,True,True,Pass
turtle_trading,True,True,True,Pass
volume_expansion_breakout,True,True,True,Pass
vwap_mean_reversion,True,True,True,Pass
williams_r_reversal,True,True,True,Pass
zscore_mean_reversion,True,True,True,Pass
