Framework,Cutoffs Tested,Causal,Deterministic,Non-Mutating,Cached Arrays Causal,Session Precomputation Causal,Setup Identity Stable,Result
adx_trend_following,2,True,True,True,True,True,True,Pass
aroon_trend,2,True,True,True,True,True,True,Pass
atr_volatility_breakout,2,True,True,True,True,True,True,Pass
bollinger_mean_reversion,2,True,True,True,True,True,True,Pass
bollinger_squeeze_breakout,2,True,True,True,True,True,True,Pass
cci_trend_pullback,2,True,True,True,True,True,True,Pass
chandelier_exit_trend,2,True,True,True,True,True,True,Pass
connors_rsi_mean_reversion,2,True,True,True,True,True,True,Pass
donchian_breakout,2,True,True,True,True,True,True,Pass
dual_moving_average_crossover,2,True,True,True,True,True,True,Pass
elder_impulse_system,2,True,True,True,True,True,True,Pass
ema_ribbon_trend,2,True,True,True,True,True,True,Pass
engulfing_confirmation_trend,2,True,True,True,True,True,True,Pass
heikin_ashi_trend,2,True,True,True,True,True,True,Pass
ichimoku_cloud_trading,2,True,True,True,True,True,True,Pass
inside_bar_breakout,2,True,True,True,True,True,True,Pass
keltner_channel_breakout,2,True,True,True,True,True,True,Pass
macd_momentum,2,True,True,True,True,True,True,Pass
momentum_acceleration_breakout,2,True,True,True,True,True,True,Pass
nr4_nr7_volatility_breakout,2,True,True,True,True,True,True,Pass
opening_range_breakout,2,True,True,True,True,True,True,Pass
parabolic_sar_trend,2,True,True,True,True,True,True,Pass
pin_bar_rejection,2,True,True,True,True,True,True,Pass
pivot_range_breakout,2,True,True,True,True,True,True,Pass
price_channel_trend,2,True,True,True,True,True,True,Pass
rsi_pullback_trend,2,True,True,True,True,True,True,Pass
stochastic_pullback_trend,2,True,True,True,True,True,True,Pass
supertrend_trend_following,2,True,True,True,True,True,True,Pass
support_resistance_bounce,2,True,True,True,True,True,True,Pass
triple_screen_trading,2,True,True,True,True,True,True,Pass
turtle_trading,2,True,True,True,True,True,True,Pass
volume_expansion_breakout,2,True,True,True,True,True,True,Pass
vwap_mean_reversion,2,True,True,True,True,True,True,Pass
williams_r_reversal,2,True,True,True,True,True,True,Pass
zscore_mean_reversion,2,True,True,True,True,True,True,Pass
