Rows,Framework,Preparation Ms,Alignment Ms,Decision Series Ms,Total Ms,Rows Per Second,Measured Runs,Warmup Runs,Approximate Input Memory Bytes,Repeated Indicator Calculations
1000,adx_trend_following,1.4643,6.867667,254.483133,278.1476,3595.213,3,1,408000,0
1000,atr_volatility_breakout,1.858367,7.492833,256.3219,280.150467,3569.51,3,1,408000,0
1000,bollinger_mean_reversion,1.6253,10.915833,314.808267,345.873933,2891.227,3,1,408000,0
1000,bollinger_squeeze_breakout,1.876633,18.969867,435.794067,479.2695,2086.509,3,1,408000,0
1000,donchian_breakout,1.767067,18.866,417.185833,459.708567,2175.291,3,1,408000,0
1000,dual_moving_average_crossover,2.1455,19.419933,445.4616,489.573567,2042.594,3,1,408000,0
1000,ema_ribbon_trend,1.758167,19.201467,461.256967,504.798867,1980.987,3,1,408000,0
1000,ichimoku_cloud_trading,1.994333,21.0803,492.292,542.2014,1844.333,3,1,408000,0
1000,inside_bar_breakout,1.867167,19.556533,453.280367,497.105267,2011.646,3,1,408000,0
1000,keltner_channel_breakout,1.706467,18.870633,456.7193,498.738133,2005.06,3,1,408000,0
1000,macd_momentum,1.6876,19.516467,467.977233,511.3818,1955.486,3,1,408000,0
1000,opening_range_breakout,1.546333,14.892167,610.4807,642.647167,1556.064,3,1,408000,0
1000,parabolic_sar_trend,1.3277,6.825167,229.982833,250.9223,3985.297,3,1,408000,0
1000,rsi_pullback_trend,1.269067,6.682,236.646767,257.467633,3883.983,3,1,408000,0
1000,supertrend_trend_following,1.484667,9.638267,244.307833,269.3108,3713.182,3,1,408000,0
1000,support_resistance_bounce,1.157367,6.367333,271.209467,292.490633,3418.913,3,1,408000,0
1000,triple_screen_trading,2.762567,18.9321,311.6075,347.4522,2878.094,3,1,577728,0
1000,turtle_trading,1.161767,6.1385,194.602967,213.249033,4689.353,3,1,408000,0
1000,vwap_mean_reversion,1.0798,6.593867,218.338167,238.320767,4196.025,3,1,408000,0
1000,zscore_mean_reversion,1.1139,6.3536,205.771633,225.534,4433.921,3,1,408000,0
10000,adx_trend_following,3.111667,68.417667,2222.4777,2380.575333,4200.665,3,1,4080000,0
10000,atr_volatility_breakout,2.698733,64.7252,2182.418833,2337.606,4277.881,3,1,4080000,0
10000,bollinger_mean_reversion,2.901433,67.484933,1814.7712,1972.684967,5069.233,3,1,4080000,0
10000,bollinger_squeeze_breakout,2.773,63.0793,2180.793967,2336.721,4279.501,3,1,4080000,0
10000,donchian_breakout,2.838567,67.073333,2079.522967,2238.782367,4466.714,3,1,4080000,0
10000,dual_moving_average_crossover,2.742167,62.6089,2179.041633,2331.888933,4288.369,3,1,4080000,0
10000,ema_ribbon_trend,2.882867,67.920367,2212.4867,2370.453767,4218.602,3,1,4080000,0
10000,ichimoku_cloud_trading,3.0966,66.295133,2129.203533,2295.1074,4357.095,3,1,4080000,0
10000,inside_bar_breakout,2.8806,69.5469,2246.000333,2410.270833,4148.911,3,1,4080000,0
10000,keltner_channel_breakout,2.7643,64.473133,2251.603167,2412.012067,4145.916,3,1,4080000,0
10000,macd_momentum,2.716467,64.881633,2243.833667,2398.400133,4169.446,3,1,4080000,0
10000,opening_range_breakout,2.744467,64.0965,3962.985533,4117.1796,2428.847,3,1,4080000,0
10000,parabolic_sar_trend,3.0299,70.550533,2143.601167,2306.462533,4335.644,3,1,4080000,0
10000,rsi_pullback_trend,2.865133,65.041,2165.052333,2322.7751,4305.195,3,1,4080000,0
10000,supertrend_trend_following,2.593067,62.289167,2407.442,2569.1035,3892.408,3,1,4080000,0
10000,support_resistance_bounce,3.005933,63.331833,2593.212033,2752.689267,3632.811,3,1,4080000,0
10000,triple_screen_trading,5.0705,193.167233,3053.8311,3361.5432,2974.824,3,1,5779728,0
10000,turtle_trading,2.822733,63.112667,1944.271533,2098.846167,4764.523,3,1,4080000,0
10000,vwap_mean_reversion,2.866133,65.887867,2156.911767,2314.150033,4321.241,3,1,4080000,0
10000,zscore_mean_reversion,2.8138,65.686433,2079.9077,2239.039867,4466.2,3,1,4080000,0
